rank,name,score,investment_level,initial_cost,risk_level,expected_roi,payback_period,target,district_type
1,강남역,46.79539559548554,고투자,8천만원-1.5억원,고리스크,20-30%,2-3년,"기업 임원, 고소득층",프리미엄 비즈니스
2,종로?청계 관광특구,40.13433005224747,중투자,5천만원-8천만원,고리스크,20-30%,2-3년,"관광객, 외국인",관광/전통상권
3,명동 남대문 북창동 다동 무교동 관광특구,38.774487642020816,고투자,8천만원-1.5억원,저리스크,15-25%,3-4년,"관광객, 외국인",관광/전통상권
4,"신촌역(신촌역, 신촌로터리)",38.11917413496926,중투자,5천만원-8천만원,고리스크,15-25%,3-4년,"대학생, 젊은 직장인",대학가
5,종로3가역,36.570012985773865,중투자,5천만원-8천만원,중리스크,15-25%,3-4년,"관광객, 외국인",관광/전통상권
6,홍대입구역(홍대),35.49816068486075,중투자,5천만원-8천만원,고리스크,15-25%,3-4년,"20-30대, 연인/친구",젊은층 문화
7,노량진역(노량진),35.18050703111688,중투자,5천만원-8천만원,고리스크,15-25%,3-4년,"지역주민, 직장인",지역 거점
8,노원역,33.981234001436334,중투자,5천만원-8천만원,중리스크,10-20%,4-5년,"지역주민, 직장인",지역 거점
9,잠실 관광특구,33.980832855935304,중투자,5천만원-8천만원,저리스크,10-20%,4-5년,"관광객, 외국인",관광/전통상권
10,국회의사당역(국회의사당),32.63580126918209,중투자,5천만원-8천만원,고리스크,10-20%,4-5년,"지역주민, 직장인",복합상권
11,연남동(홍대),32.63502405516127,저투자,3천만원-5천만원,중리스크,10-20%,4-5년,"20-30대, 연인/친구",젊은층 문화
12,까치산역 3번,32.01680798354805,저투자,3천만원-5천만원,고리스크,10-20%,4-5년,"지역주민, 직장인",복합상권
13,남영동 먹자골목,30.880011220398984,저투자,3천만원-5천만원,고리스크,10-20%,4-5년,"지역주민, 직장인",복합상권
14,가산디지털단지,30.769055617367833,중투자,5천만원-8천만원,중리스크,10-20%,4-5년,"지역주민, 직장인",복합상권
15,수유역,30.616022907282307,저투자,3천만원-5천만원,중리스크,10-20%,4-5년,"지역주민, 직장인",지역 거점
